{'': '0', 'Unnamed: 0': '0.0', 'customerID': '7590-VHVEG', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': '', 'tenure': 1.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 29.85, 'TotalCharges': 29.85, 'prediction': 1.0}
{'': '3420', 'Unnamed: 0': '3420.0', 'customerID': '8663-UPDGF', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 26.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 69.5, 'TotalCharges': 1800.05, 'prediction': 0.0}
{'': '3421', 'Unnamed: 0': '3421.0', 'customerID': '6719-FGEDO', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 72.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 97.0, 'TotalCharges': 7104.2, 'prediction': 0.0}
{'': '3422', 'Unnamed: 0': '3422.0', 'customerID': '1837-YQUCE', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 70.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 58.35, 'TotalCharges': 4214.25, 'prediction': 0.0}
{'': '3423', 'Unnamed: 0': '3423.0', 'customerID': '2947-DOMLJ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'Yes', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 50.6, 'TotalCharges': 50.6, 'prediction': 1.0}
{'': '3424', 'Unnamed: 0': '3424.0', 'customerID': '4112-LUEIZ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 10.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': '', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 89.5, 'TotalCharges': 863.1, 'prediction': 0.0}
{'': '3425', 'Unnamed: 0': '3425.0', 'customerID': '0369-ZGOVK', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 28.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 70.4, 'TotalCharges': 1992.2, 'prediction': 0.0}
{'': '3426', 'Unnamed: 0': '3426.0', 'customerID': '4510-HIMLV', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 69.8, 'TotalCharges': 69.8, 'prediction': 1.0}
{'': '3427', 'Unnamed: 0': '3427.0', 'customerID': '9919-KNPOO', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 21.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 94.3, 'TotalCharges': 1948.35, 'prediction': 0.0}
{'': '3428', 'Unnamed: 0': '3428.0', 'customerID': '8749-JMNKX', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': '', 'Dependents': 'No', 'tenure': 51.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 93.8, 'TotalCharges': 4750.95, 'prediction': 0.0}
{'': '3429', 'Unnamed: 0': '3429.0', 'customerID': '7872-BAAZR', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 53.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': '', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 19.55, 'TotalCharges': 1007.9, 'prediction': 0.0}
{'': '3430', 'Unnamed: 0': '3430.0', 'customerID': '9391-LMANN', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'Yes', 'tenure': 53.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 95.95, 'TotalCharges': 5036.9, 'prediction': 0.0}
{'': '3431', 'Unnamed: 0': '3431.0', 'customerID': '2430-USGXP', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 24.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 101.05, 'TotalCharges': 2391.8, 'prediction': 0.0}
{'': '3432', 'Unnamed: 0': '3432.0', 'customerID': '8174-TBVCF', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 70.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 94.8, 'TotalCharges': 6859.05, 'prediction': 0.0}
{'': '3433', 'Unnamed: 0': '3433.0', 'customerID': '1698-XFZCI', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 61.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 107.75, 'TotalCharges': 6521.9, 'prediction': 0.0}
{'': '3434', 'Unnamed: 0': '3434.0', 'customerID': '1877-HKBQX', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 11.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 54.6, 'TotalCharges': 617.85, 'prediction': 0.0}
{'': '3435', 'Unnamed: 0': '3435.0', 'customerID': '4450-DLLMH', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 2.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 71.3, 'TotalCharges': 157.75, 'prediction': 1.0}
{'': '3436', 'Unnamed: 0': '3436.0', 'customerID': '0428-AXXLJ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 25.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 19.5, 'TotalCharges': 516.3, 'prediction': 0.0}
{'': '3438', 'Unnamed: 0': '3438.0', 'customerID': '5955-ERIHD', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 18.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 94.7, 'TotalCharges': 1687.95, 'prediction': 0.0}
{'': '3439', 'Unnamed: 0': '3439.0', 'customerID': '0917-EZOLA', 'gender': '', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 72.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 104.15, 'TotalCharges': 7689.95, 'prediction': 0.0}
{'': '3440', 'Unnamed: 0': '3440.0', 'customerID': '3508-VLHCZ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 71.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 90.55, 'TotalCharges': 6239.05, 'prediction': 0.0}
{'': '3441', 'Unnamed: 0': '3441.0', 'customerID': '4086-ATNFV', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 34.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 60.8, 'TotalCharges': 0.0, 'prediction': 0.0}
{'': '3442', 'Unnamed: 0': '3442.0', 'customerID': '0468-YRPXN', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 29.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 98.8, 'TotalCharges': 2807.1, 'prediction': 0.0}
{'': '3443', 'Unnamed: 0': '3443.0', 'customerID': '5996-NRVXR', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 40.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 98.15, 'TotalCharges': 4116.8, 'prediction': 0.0}
{'': '3444', 'Unnamed: 0': '3444.0', 'customerID': '3739-YBWAB', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 36.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 35.35, 'TotalCharges': 1317.95, 'prediction': 0.0}
{'': '3445', 'Unnamed: 0': '3445.0', 'customerID': '7047-FWEYA', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 46.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 103.15, 'TotalCharges': 4594.65, 'prediction': 0.0}
{'': '3446', 'Unnamed: 0': '3446.0', 'customerID': '2000-MPKCA', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 58.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 107.75, 'TotalCharges': 6332.75, 'prediction': 0.0}
{'': '3447', 'Unnamed: 0': '3447.0', 'customerID': '9762-YAQAA', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 39.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 81.4, 'TotalCharges': 3213.75, 'prediction': 0.0}
{'': '3448', 'Unnamed: 0': '3448.0', 'customerID': '5949-EBSQK', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 4.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 61.45, 'TotalCharges': 229.55, 'prediction': 1.0}
{'': '3449', 'Unnamed: 0': '3449.0', 'customerID': '5473-KHBPS', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 52.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 0.0, 'TotalCharges': 4976.15, 'prediction': 0.0}
{'': '3450', 'Unnamed: 0': '3450.0', 'customerID': '0100-DUVFC', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 70.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 104.8, 'TotalCharges': 7308.95, 'prediction': 0.0}
{'': '3451', 'Unnamed: 0': '', 'customerID': '5397-TUPSH', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 65.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 70.95, 'TotalCharges': 4555.2, 'prediction': 0.0}
{'': '3452', 'Unnamed: 0': '3452.0', 'customerID': '8950-MTZNV', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 44.95, 'TotalCharges': 44.95, 'prediction': 1.0}
{'': '3453', 'Unnamed: 0': '3453.0', 'customerID': '0326-VDYXE', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 70.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 97.65, 'TotalCharges': 6982.5, 'prediction': 0.0}
{'': '3454', 'Unnamed: 0': '3454.0', 'customerID': '6773-LQTVT', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 29.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 35.65, 'TotalCharges': 1025.15, 'prediction': 0.0}
{'': '3455', 'Unnamed: 0': '3455.0', 'customerID': '7274-RTAPZ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 90.55, 'TotalCharges': 90.55, 'prediction': 1.0}
{'': '3456', 'Unnamed: 0': '3456.0', 'customerID': '0436-TWFFZ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 67.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 85.25, 'TotalCharges': 5714.2, 'prediction': 0.0}
{'': '3457', 'Unnamed: 0': '3457.0', 'customerID': '8566-YPRGL', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': '', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 19.5, 'TotalCharges': 19.5, 'prediction': 0.0}
{'': '3458', 'Unnamed: 0': '3458.0', 'customerID': '0311-UNPFF', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 26.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 88.8, 'TotalCharges': 2274.35, 'prediction': 0.0}
{'': '3459', 'Unnamed: 0': '3459.0', 'customerID': '6609-MXJHJ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 30.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 25.1, 'TotalCharges': 789.55, 'prediction': 0.0}
{'': '3460', 'Unnamed: 0': '3460.0', 'customerID': '2669-OIDSD', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 48.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 100.05, 'TotalCharges': 4834.0, 'prediction': 0.0}
{'': '3461', 'Unnamed: 0': '3461.0', 'customerID': '8400-WZICQ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 55.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 55.7, 'TotalCharges': 3131.8, 'prediction': 0.0}
{'': '3462', 'Unnamed: 0': '3462.0', 'customerID': '3834-XUIFC', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 7.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': '', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 85.2, 'TotalCharges': 602.55, 'prediction': 0.0}
